"CLONE";"TALHAO";"ARVORE";"TORA";"DAP";"HT";"hi";"di_cc";"e_casca";"comp_secao"
9318;4;1;1;17,6;21;0,5;18,5;6;1
9318;4;1;2;17,6;21;1,5;17,5;6;1
9318;4;1;3;17,6;21;2,5;17;5;1
9318;4;1;4;17,6;21;3,5;16,5;5;1
9318;4;1;5;17,6;21;4,5;16;4;1
9318;4;1;6;17,6;21;5,5;16;4;1
9318;4;1;7;17,6;21;6,5;15,5;3;1
9318;4;1;8;17,6;21;7,5;15;3;1
9318;4;1;9;17,6;21;8,5;14,5;3;1
9318;4;1;10;17,6;21;9,5;14;3;1
9318;4;1;11;17,6;21;10,5;13;2;1
9318;4;1;12;17,6;21;11,5;12,5;2;1
9318;4;1;13;17,6;21;12,5;12;2;1
9318;4;1;14;17,6;21;13,5;11,5;1;1
9318;4;1;15;17,6;21;14,5;11;1;1
9318;4;1;16;17,6;21;15,5;10;6;1
9318;4;1;17;17,6;21;16,5;9,5;6;1
9318;4;1;18;17,6;21;17,5;9;5;1
9318;4;1;19;17,6;21;18,5;8;5;1
9318;4;1;20;17,6;21;19,5;7,5;4;1
9318;4;1;21;17,6;21;20,5;7;4;1
9318;4;2;1;15,6;20;0,5;16,5;4;1
9318;4;2;2;15,6;20;1,5;15,5;4;1
9318;4;2;3;15,6;20;2,5;15;3;1
9318;4;2;4;15,6;20;3,5;15;2;1
9318;4;2;5;15,6;20;4,5;14,5;2;1
9318;4;2;6;15,6;20;5,5;14;2;1
9318;4;2;7;15,6;20;6,5;14;2;1
9318;4;2;8;15,6;20;7,5;13,5;1;1
9318;4;2;9;15,6;20;8,5;13;1;1
9318;4;2;10;15,6;20;9,5;12,5;9;1
9318;4;2;11;15,6;20;10,5;12;8;1
9318;4;2;12;15,6;20;11,5;11;6;1
9318;4;2;13;15,6;20;12,5;11;5;1
9318;4;2;14;15,6;20;13,5;10,5;5;1
9318;4;2;15;15,6;20;14,5;10;4;1
9318;4;2;16;15,6;20;15,5;9,5;4;1
9318;4;2;17;15,6;20;16,5;9;2;1
9318;4;2;18;15,6;20;17,5;8;3;1
9318;4;2;19;15,6;20;18,5;7,5;3;1
9318;4;2;20;15,6;20;19,5;7;2;1
9318;4;3;1;15,7;20;0,5;16;2;1
9318;4;3;2;15,7;20;1,5;15,5;1;1
9318;4;3;3;15,7;20;2,5;14,5;1;1
9318;4;3;4;15,7;20;3,5;14,5;6;1
9318;4;3;5;15,7;20;4,5;14;5;1
9318;4;3;6;15,7;20;5,5;13;5;1
9318;4;3;7;15,7;20;6,5;12,5;5;1
9318;4;3;8;15,7;20;7,5;12;4;1
9318;4;3;9;15,7;20;8,5;11,5;3;1
9318;4;3;10;15,7;20;9,5;11;3;1
9318;4;3;11;15,7;20;10,5;10,5;3;1
9318;4;3;12;15,7;20;11,5;10;2;1
9318;4;3;13;15,7;20;12,5;9,5;2;1
9318;4;3;14;15,7;20;13,5;9;2;1
9318;4;3;15;15,7;20;14,5;8,5;2;1
9318;4;3;16;15,7;20;15,5;8;1;1
9318;4;3;17;15,7;20;16,5;7,5;6;1
9318;4;3;18;15,7;20;17,5;7;6;1
9318;4;3;19;15,7;20;18,5;6,5;6;1
9318;4;3;20;15,7;20;19,5;6;5;1
9318;4;4;1;15,1;20;0,5;16;4;1
9318;4;4;2;15,1;20;1,5;15;4;1
9318;4;4;3;15,1;20;2,5;14,5;4;1
9318;4;4;4;15,1;20;3,5;14;4;1
9318;4;4;5;15,1;20;4,5;13,5;5;1
9318;4;4;6;15,1;20;5,5;13;3;1
9318;4;4;7;15,1;20;6,5;12,5;3;1
9318;4;4;8;15,1;20;7,5;12;3;1
9318;4;4;9;15,1;20;8,5;11,5;3;1
9318;4;4;10;15,1;20;9,5;11;2;1
9318;4;4;11;15,1;20;10,5;10,5;1;1
9318;4;4;12;15,1;20;11,5;10;7;1
9318;4;4;13;15,1;20;12,5;9,5;6;1
9318;4;4;14;15,1;20;13,5;9;5;1
9318;4;4;15;15,1;20;14,5;8,5;4;1
9318;4;4;16;15,1;20;15,5;8;4;1
9318;4;4;17;15,1;20;16,5;7,5;3;1
9318;4;4;18;15,1;20;17,5;7;3;1
9318;4;4;19;15,1;20;18,5;6,5;2;1
9318;4;4;20;15,1;20;19,5;6;2;1
9318;4;5;1;17,2;20;0,5;17,5;2;1
9318;4;5;2;17,2;21;1,5;17;2;1
9318;4;5;3;17,2;21;2,5;16,5;2;1
9318;4;5;4;17,2;21;3,5;16;1;1
9318;4;5;5;17,2;21;4,5;15,5;1;1
9318;4;5;6;17,2;21;5,5;15;6;1
9318;4;5;7;17,2;21;6,5;14,5;5;1
9318;4;5;8;17,2;21;7,5;14;5;1
9318;4;5;9;17,2;21;8,5;13,5;5;1
9318;4;5;10;17,2;21;9,5;13;5;1
9318;4;5;11;17,2;21;10,5;12,5;4;1
9318;4;5;12;17,2;21;11,5;12;4;1
9318;4;5;13;17,2;21;12,5;11,5;3;1
9318;4;5;14;17,2;21;13,5;11;3;1
9318;4;5;15;17,2;21;14,5;10,5;4;1
9318;4;5;16;17,2;21;15,5;10;3;1
9318;4;5;17;17,2;21;16,5;9,5;3;1
9318;4;5;18;17,2;21;17,5;8,5;2;1
9318;4;5;19;17,2;21;18,5;8,5;2;1
9318;4;5;20;17,2;21;19,5;8;1;1
9318;4;5;21;17,2;21;20,5;7,5;5;1
9318;4;6;1;16,2;20;0,5;16,5;5;1
9318;4;6;2;16,2;20;1,5;16;5;1
9318;4;6;3;16,2;20;2,5;15,5;5;1
9318;4;6;4;16,2;20;3,5;15;4;1
9318;4;6;5;16,2;20;4,5;14,5;3;1
9318;4;6;6;16,2;20;5,5;14;3;1
9318;4;6;7;16,2;20;6,5;13,5;3;1
9318;4;6;8;16,2;20;7,5;13;3;1
9318;4;6;9;16,2;20;8,5;12,5;3;1
9318;4;6;10;16,2;20;9,5;12;2;1
9318;4;6;11;16,2;20;10,5;11,5;2;1
9318;4;6;12;16,2;20;11,5;11;2;1
9318;4;6;13;16,2;20;12,5;10,5;2;1
9318;4;6;14;16,2;20;13,5;10;2;1
9318;4;6;15;16,2;20;14,5;9,5;1;1
9318;4;6;16;16,2;20;15,5;9;6;1
9318;4;6;17;16,2;20;16,5;8,5;5;1
9318;4;6;18;16,2;20;17,5;8;5;1
9318;4;6;19;16,2;20;18,5;7,5;5;1
9318;4;6;20;16,2;20;19,5;7;4;1
9318;4;7;1;17,7;22;0,5;18;3;1
9318;4;7;2;17,7;22;1,5;17,5;3;1
9318;4;7;3;17,7;22;2,5;17;3;1
9318;4;7;4;17,7;22;3,5;16,5;3;1
9318;4;7;5;17,7;22;4,5;16;3;1
9318;4;7;6;17,7;22;5,5;15,5;2;1
9318;4;7;7;17,7;22;6,5;15;2;1
9318;4;7;8;17,7;22;7,5;14,5;2;1
9318;4;7;9;17,7;22;8,5;14;2;1
9318;4;7;10;17,7;22;9,5;13,5;2;1
9318;4;7;11;17,7;22;10,5;13;1;1
9318;4;7;12;17,7;22;11,5;12,5;6;1
9318;4;7;13;17,7;22;12,5;12;5;1
9318;4;7;14;17,7;22;13,5;11,5;5;1
9318;4;7;15;17,7;22;14,5;11;5;1
9318;4;7;16;17,7;22;15,5;10,5;4;1
9318;4;7;17;17,7;22;16,5;10;4;1
9318;4;7;18;17,7;22;17,5;9,5;3;1
9318;4;7;19;17,7;22;18,5;9;3;1
9318;4;7;20;17,7;22;19,5;8,5;3;1
9318;4;7;21;17,7;22;20,5;8;3;1
9318;4;7;22;17,7;22;21,5;7,5;2;1
9318;4;8;1;16,1;21;0,5;17;1;1
9318;4;8;2;16,1;21;1,5;16;1;1
9318;4;8;3;16,1;21;2,5;15;1;1
9318;4;8;4;16,1;21;3,5;14,5;1;1
9318;4;8;5;16,1;21;4,5;14;8;1
9318;4;8;6;16,1;21;5,5;14;7;1
9318;4;8;7;16,1;21;6,5;13,5;6;1
9318;4;8;8;16,1;21;7,5;13;6;1
9318;4;8;9;16,1;21;8,5;12,5;6;1
9318;4;8;10;16,1;21;9,5;12;5;1
9318;4;8;11;16,1;21;10,5;12;4;1
9318;4;8;12;16,1;21;11,5;11,5;4;1
9318;4;8;13;16,1;21;12,5;11;3;1
9318;4;8;14;16,1;21;13,5;11;3;1
9318;4;8;15;16,1;21;14,5;10;3;1
9318;4;8;16;16,1;21;15,5;9;2;1
9318;4;8;17;16,1;21;16,5;8,5;2;1
9318;4;8;18;16,1;21;17,5;8;2;1
9318;4;8;19;16,1;21;18,5;7,5;2;1
9318;4;8;20;16,1;21;19,5;6,5;2;1
9318;4;8;21;16,1;21;20,5;6;1;1
9318;4;9;1;16,7;19;0,5;17;6;1
9318;4;9;2;16,7;19;1,5;16,5;5;1
9318;4;9;3;16,7;19;2,5;16;6;1
9318;4;9;4;16,7;19;3,5;15,5;5;1
9318;4;9;5;16,7;19;4,5;15;5;1
9318;4;9;6;16,7;19;5,5;14,5;5;1
9318;4;9;7;16,7;19;6,5;14;3;1
9318;4;9;8;16,7;19;7,5;13,5;3;1
9318;4;9;9;16,7;19;8,5;13;3;1
9318;4;9;10;16,7;19;9,5;12,5;3;1
9318;4;9;11;16,7;19;10,5;12;3;1
9318;4;9;12;16,7;19;11,5;11,5;3;1
9318;4;9;13;16,7;19;12,5;11;2;1
9318;4;9;14;16,7;19;13,5;10,5;2;1
9318;4;9;15;16,7;19;14,5;10;1;1
9318;4;9;16;16,7;19;15,5;9,5;1;1
9318;4;9;17;16,7;19;16,5;9;7;1
9318;4;9;18;16,7;19;17,5;8,5;5;1
9318;4;9;19;16,7;19;18,5;7,5;5;1
9318;4;10;1;16,1;20;0,5;17;5;1
9318;4;10;2;16,1;20;1,5;16;5;1
9318;4;10;3;16,1;20;2,5;15,5;4;1
9318;4;10;4;16,1;20;3,5;15;3;1
9318;4;10;5;16,1;20;4,5;14;3;1
9318;4;10;6;16,1;20;5,5;14;3;1
9318;4;10;7;16,1;20;6,5;13,5;2;1
9318;4;10;8;16,1;20;7,5;13;2;1
9318;4;10;9;16,1;20;8,5;12,5;2;1
9318;4;10;10;16,1;20;9,5;12;2;1
9318;4;10;11;16,1;20;10,5;12;2;1
9318;4;10;12;16,1;20;11,5;11,5;2;1
9318;4;10;13;16,1;20;12,5;11;2;1
9318;4;10;14;16,1;20;13,5;10;2;1
9318;4;10;15;16,1;20;14,5;9,5;1;1
9318;4;10;16;16,1;20;15,5;8,5;8;1
9318;4;10;17;16,1;20;16,5;8;7;1
9318;4;10;18;16,1;20;17,5;7,5;6;1
9318;4;10;19;16,1;20;18,5;7;6;1
9318;4;10;20;16,1;20;19,5;6,5;5;1
9318;4;10;1;16,1;20;0,5;17;4;1
9318;4;10;2;16,1;20;1,5;16;4;1
9318;4;10;3;16,1;20;2,5;15,5;4;1
9318;4;10;4;16,1;20;3,5;15;3;1
9318;4;10;5;16,1;20;4,5;14;2;1
9318;4;10;6;16,1;20;5,5;14;3;1
9318;4;10;7;16,1;20;6,5;13,5;3;1
9318;2;10;8;16,1;20;7,5;13;2;1
9318;2;10;9;16,1;20;8,5;12,5;2;1
9318;2;10;10;16,1;20;9,5;12;2;1
9318;2;10;11;16,1;20;10,5;11,5;2;1
9318;2;10;12;16,1;20;11,5;11;1;1
9318;2;10;13;16,1;20;12,5;11;7;1
9318;2;10;14;16,1;20;13,5;10,5;6;1
9318;2;10;15;16,1;20;14,5;10;6;1
9318;2;10;16;16,1;20;15,5;9,5;5;1
9318;2;10;17;16,1;20;16,5;9;5;1
9318;2;10;18;16,1;20;17,5;8;4;1
9318;2;10;19;16,1;20;18,5;7,5;4;1
9318;2;10;20;16,1;20;19,5;6,5;4;1
9318;2;11;1;16,2;20;0,5;16,5;3;1
9318;2;11;2;16,2;20;1,5;16;3;1
9318;2;11;3;16,2;20;2,5;15;3;1
9318;2;11;4;16,2;20;3,5;15;3;1
9318;2;11;5;16,2;20;4,5;14;3;1
9318;2;11;6;16,2;20;5,5;14;2;1
9318;2;11;7;16,2;20;6,5;13,5;2;1
9318;2;11;8;16,2;20;7,5;13;2;1
9318;2;11;9;16,2;20;8,5;12,5;1;1
9318;2;11;10;16,2;20;9,5;12;8;1
9318;2;11;11;16,2;20;10,5;11,5;8;1
9318;2;11;12;16,2;20;11,5;11;6;1
9318;2;11;13;16,2;20;12,5;10,5;6;1
9318;2;11;14;16,2;20;13,5;10;5;1
9318;2;11;15;16,2;20;14,5;9,5;5;1
9318;2;11;16;16,2;20;15,5;9;4;1
9318;2;11;17;16,2;20;16,5;8,5;4;1
9318;2;11;18;16,2;20;17,5;8;4;1
9318;2;11;19;16,2;20;18,5;7;3;1
9318;2;11;20;16,2;20;19,5;6,5;3;1
9318;2;12;1;16,1;20;0,5;17;2;1
9318;2;12;2;16,1;20;1,5;16;2;1
9318;2;12;3;16,1;20;2,5;15,5;2;1
9318;2;12;4;16,1;20;3,5;14,5;2;1
9318;2;12;5;16,1;20;4,5;14;2;1
9318;2;12;6;16,1;20;5,5;14;1;1
9318;2;12;7;16,1;20;6,5;13,5;9;1
9318;2;12;8;16,1;20;7,5;13;6;1
9318;2;12;9;16,1;20;8,5;12,5;6;1
9318;2;12;10;16,1;20;9,5;12;7;1
9318;2;12;11;16,1;20;10,5;11,5;6;1
9318;2;12;12;16,1;20;11,5;11;5;1
9318;2;12;13;16,1;20;12,5;10,5;4;1
9318;2;12;14;16,1;20;13,5;10;4;1
9318;2;12;15;16,1;20;14,5;9,5;4;1
9318;2;12;16;16,1;20;15,5;9;4;1
9318;2;12;17;16,1;20;16,5;8,5;3;1
9318;2;12;18;16,1;20;17,5;8;3;1
9318;2;12;19;16,1;20;18,5;7,5;2;1
9318;2;12;20;16,1;20;19,5;6,5;2;1
9318;2;12;1;16,1;21;0,5;17;2;1
9318;2;12;2;16,1;21;1,5;16;2;1
9318;2;12;3;16,1;21;2,5;16;2;1
9318;2;12;4;16,1;21;3,5;15;1;1
9318;2;12;5;16,1;21;4,5;15;5;1
9318;2;12;6;16,1;21;5,5;14;6;1
9318;2;12;7;16,1;21;6,5;13,5;5;1
9318;2;12;8;16,1;21;7,5;13;6;1
9318;2;12;9;16,1;21;8,5;12,5;5;1
9318;2;12;10;16,1;21;9,5;12,5;4;1
9318;2;12;11;16,1;21;10,5;12;4;1
9318;2;12;12;16,1;21;11,5;11,5;5;1
9318;2;12;13;16,1;21;12,5;11;4;1
9318;2;12;14;16,1;21;13,5;10,5;3;1
9318;2;12;15;16,1;21;14,5;10;3;1
9318;2;12;16;16,1;21;15,5;10;3;1
9318;2;12;17;16,1;21;16,5;9,5;3;1
9318;2;12;18;16,1;21;17,5;8,5;3;1
9318;2;12;19;16,1;21;18,5;8;2;1
9318;2;12;20;16,1;21;19,5;7,5;2;1
9318;2;12;21;16,1;21;20,5;6,5;2;1
9318;2;13;1;15,1;20;0,5;16;1;1
9318;2;13;2;15,1;20;1,5;15;10;1
9318;2;13;3;15,1;20;2,5;14;7;1
9318;2;13;4;15,1;20;3,5;14;7;1
9318;2;13;5;15,1;20;4,5;13,5;6;1
9318;2;13;6;15,1;20;5,5;13,5;5;1
9318;2;13;7;15,1;20;6,5;13;5;1
9318;2;13;8;15,1;20;7,5;13;4;1
9318;2;13;9;15,1;20;8,5;12,5;4;1
9318;2;13;10;15,1;20;9,5;12;4;1
9318;2;13;11;15,1;20;10,5;12;4;1
9318;2;13;12;15,1;20;11,5;11;4;1
9318;2;13;13;15,1;20;12,5;11;4;1
